__time,friendlyHostname,location,ipAddress,sneId,voltageAvg,voltageSum,wattageAvg,wattageSum,platform,type,vendor,model,interfaceName,hostname
Mon Apr 01 2024 00:00:07 GMT+0000 (Greenwich Mean Time),core-aln1,l-sws,10.162.3.49,20641899,24753.32143,1386186,131916.1071,7387302,21c,Device,nokia,7950-xrs-20,,core-aln1.l-sws.21cn-infra.bt.com
Mon Apr 01 2024 00:00:11 GMT+0000 (Greenwich Mean Time),core-aln1,wv,10.162.3.13,20615614,24784.73214,1387945,133024.0536,7449347,21c,Device,nokia,7950-xrs-20,,core-aln1.wv.21cn-infra.bt.com
Mon Apr 01 2024 00:00:11 GMT+0000 (Greenwich Mean Time),core-aln2,l-sws,10.162.3.177,20641901,24738.75,1385370,132200.75,7403242,21c,Device,nokia,7950-xrs-20,,core-aln2.l-sws.21cn-infra.bt.com
Mon Apr 01 2024 00:00:13 GMT+0000 (Greenwich Mean Time),core-aln2,cf-c,10.162.3.140,20596623,27481.36667,1648882,156048.1667,9362890,21c,Device,nokia,7950-xrs-20,,core-aln2.cf-c.21cn-infra.bt.com
Mon Apr 01 2024 00:00:16 GMT+0000 (Greenwich Mean Time),core-aln1,pe,10.162.3.10,20615566,28299.26667,1697956,162638.1167,9758287,21c,Device,nokia,7950-xrs-20,,core-aln1.pe.21cn-infra.bt.com
Mon Apr 01 2024 00:00:16 GMT+0000 (Greenwich Mean Time),core-aln2,pe,10.162.3.138,20615569,28303.48333,1698209,162878.6833,9772721,21c,Device,nokia,7950-xrs-20,,core-aln2.pe.21cn-infra.bt.com
Mon Apr 01 2024 00:00:19 GMT+0000 (Greenwich Mean Time),core-aln2,wv,10.162.3.141,20615616,24776.10714,1387462,131376.1071,7357062,21c,Device,nokia,7950-xrs-20,,core-aln2.wv.21cn-infra.bt.com
Mon Apr 01 2024 00:00:21 GMT+0000 (Greenwich Mean Time),core-aln1,l-far,10.162.3.0,20607803,33926.32353,2306990,220759.8529,15011670,21c,Device,nokia,7950-xrs-20,,core-aln1.l-far.21cn-infra.bt.com
Mon Apr 01 2024 00:00:26 GMT+0000 (Greenwich Mean Time),core-aln2,l-far,10.162.3.128,20607805,33907.57353,2305715,222790.7941,15149774,21c,Device,nokia,7950-xrs-20,,core-aln2.l-far.21cn-infra.bt.com
Mon Apr 01 2024 00:00:33 GMT+0000 (Greenwich Mean Time),core-aln1,cf-c,10.162.3.12,20596620,27436.46667,1646188,155960.2667,9357616,21c,Device,nokia,7950-xrs-20,,core-aln1.cf-c.21cn-infra.bt.com
Mon Apr 01 2024 00:01:03 GMT+0000 (Greenwich Mean Time),core-aln2,pe,10.162.3.138,20615569,28302.01667,1698121,164656.1333,9879368,21c,Device,nokia,7950-xrs-20,,core-aln2.pe.21cn-infra.bt.com
Mon Apr 01 2024 00:01:10 GMT+0000 (Greenwich Mean Time),core-aln2,l-far,10.162.3.128,20607805,33906.92647,2305671,222697.8971,15143457,21c,Device,nokia,7950-xrs-20,,core-aln2.l-far.21cn-infra.bt.com
Mon Apr 01 2024 00:01:11 GMT+0000 (Greenwich Mean Time),core-aln2,cf-c,10.162.3.140,20596623,27481.36667,1648882,156087.05,9365223,21c,Device,nokia,7950-xrs-20,,core-aln2.cf-c.21cn-infra.bt.com
Mon Apr 01 2024 00:01:11 GMT+0000 (Greenwich Mean Time),core-aln1,wv,10.162.3.13,20615614,24783.94643,1387901,133112.2857,7454288,21c,Device,nokia,7950-xrs-20,,core-aln1.wv.21cn-infra.bt.com
Mon Apr 01 2024 00:01:11 GMT+0000 (Greenwich Mean Time),core-aln1,l-sws,10.162.3.49,20641899,24754.89286,1386274,131827.7857,7382356,21c,Device,nokia,7950-xrs-20,,core-aln1.l-sws.21cn-infra.bt.com
